Protein IDs,Fasta headers,LFQ intensity 1,LFQ intensity 2,LFQ intensity 20,LFQ intensity 22,LFQ intensity 25,LFQ intensity 28,LFQ intensity 29,LFQ intensity 31,LFQ intensity 33,LFQ intensity 36,LFQ intensity 37,LFQ intensity 39,LFQ intensity 4,LFQ intensity 8,LFQ intensity 9
B2GUV9,tr|B2GUV9|B2GUV9_RAT Exocyst complex component 3-like 4 OS=Rattus norvegicus OX=10116 GN=Exoc3l4 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2GV41,"tr|B2GV41|B2GV41_RAT Ubiquitin specific protease 39 (Predicted), isoform CRA_b OS=Rattus norvegicus OX=10116 GN=Usp39 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2RZ23,tr|B2RZ23|B2RZ23_RAT Centromere protein A OS=Rattus norvegicus OX=10116 GN=Cenpa PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2RZ74,tr|B2RZ74|B2RZ74_RAT U1 small nuclear ribonucleoprotein 70 kDa OS=Rattus norvegicus OX=10116 GN=Snrnp70 PE=1 SV=1,0,0,0,0,0,0,39941,0,0,0,0,0,0,0,175970
B3DMA0,sp|B3DMA0|P5I11_RAT Tumor protein p53-inducible protein 11 OS=Rattus norvegicus OX=10116 GN=Tp53i11 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4F786,"tr|B4F786|B4F786_RAT CD2 antigen (Cytoplasmic tail) binding protein 2 (Predicted), isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Cd2bp2 PE=1 SV=1",11762,0,12904,0,0,0,0,6327.7,0,0,0,0,18555,0,61748
B4F7E3;Q3LRZ1,tr|B4F7E3|B4F7E3_RAT CREB regulated transcription coactivator 2 OS=Rattus norvegicus OX=10116 GN=Crtc2 PE=1 SV=1;sp|Q3LRZ1|CRTC2_RAT CREB-regulated transcription coactivator 2 OS=Rattus norvegicus OX=10116 GN=Crtc2 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4F7F0,tr|B4F7F0|B4F7F0_RAT Claudin OS=Rattus norvegicus OX=10116 GN=Cldn6 PE=2 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5DEK0,tr|B5DEK0|B5DEK0_RAT Regulation of nuclear pre-mRNA domain-containing 1B OS=Rattus norvegicus OX=10116 GN=Rprd1b PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON__P02533;CON__Q6IFX2;Q6IFU7;CON__A2A4G1;CON__Q9Z2K1;CON__Q3ZAW8;Q6IFU9;Q6IFV0;Q6IFV3;A0A0G2JW58;A0A0G2JU48;CON__P19012;CON__Q61782,,16418,21542,27516,133670,79930,7931.5,18918,9085.1,60666,5951.6,51524,0,85717,46118,0
CON__P04264;Q63280;Q63282,,211900,11316,170090,728940,663990,67799,403440,151770,383860,92672,322990,0,682900,320880,115140
CON__P13645;CON__Q148H6;CON__Q7Z3Y7;CON__Q7Z3Y8;CON__Q2M2I5,,74774,4827.4,106150,372500,373500,47869,94800,30803,202960,26577,145440,0,556930,155700,9639
D0VED2;P38438,tr|D0VED2|D0VED2_RAT TGF-beta receptor type-2 OS=Rattus norvegicus OX=10116 PE=1 SV=1;sp|P38438|TGFR2_RAT TGF-beta receptor type-2 OS=Rattus norvegicus OX=10116 GN=Tgfbr2 PE=1 SV=1,0,0,0,0,0,0,34262,0,0,23405,0,0,0,0,0
D3Z837,tr|D3Z837|D3Z837_RAT Non-specific serine/threonine protein kinase OS=Rattus norvegicus OX=10116 GN=Cdc42bpg PE=3 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1LT30;D3Z8R4,tr|F1LT30|F1LT30_RAT PWI domain-containing protein OS=Rattus norvegicus OX=10116 PE=4 SV=2;tr|D3Z8R4|D3Z8R4_RAT RNA-binding motif protein 25-like 1 OS=Rattus norvegicus OX=10116 GN=Rbm25l1 PE=1 SV=3,0,0,0,0,0,0,0,0,0,31668,0,0,8103.3,0,26133
D3Z994,"tr|D3Z994|D3Z994_RAT TBC1 domain family, member 22a OS=Rattus norvegicus OX=10116 GN=Tbc1d22a PE=1 SV=3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3ZAF9,tr|D3ZAF9|D3ZAF9_RAT SH3 and PX domains 2B OS=Rattus norvegicus OX=10116 GN=Sh3pxd2b PE=1 SV=2,0,0,0,0,0,0,0,0,0,1904.3,2263.2,0,0,0,0
D3ZAP1,tr|D3ZAP1|D3ZAP1_RAT Mediator of RNA polymerase II transcription subunit 19 OS=Rattus norvegicus OX=10116 GN=Med19 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3ZBC4,tr|D3ZBC4|D3ZBC4_RAT Alanine and glycine-rich protein-like OS=Rattus norvegicus OX=10116 GN=LOC103694328 PE=1 SV=1,0,0,0,0,0,0,0,18643,0,0,0,0,5446.3,0,0
D3ZC82,tr|D3ZC82|D3ZC82_RAT Nuclear FMR1-interacting protein 2 OS=Rattus norvegicus OX=10116 GN=Nufip2 PE=1 SV=2,0,0,0,23543,0,0,71258,0,0,35716,0,37294,0,13576,65399
D3ZCQ9,tr|D3ZCQ9|D3ZCQ9_RAT Myeloid leukemia factor 1 OS=Rattus norvegicus OX=10116 GN=Mlf1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3ZFH5,tr|D3ZFH5|D3ZFH5_RAT Inter-alpha-trypsin inhibitor heavy chain 2 OS=Rattus norvegicus OX=10116 GN=Itih2 PE=1 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3ZFK8,"tr|D3ZFK8|D3ZFK8_RAT FERM, ARH/RhoGEF and pleckstrin domain protein 2 OS=Rattus norvegicus OX=10116 GN=Farp2 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3ZH14,tr|D3ZH14|D3ZH14_RAT Transmembrane and coiled-coil domain family 1 OS=Rattus norvegicus OX=10116 GN=Tmcc1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,10878,0,12122
M0RBK3;D3ZHK9,"tr|M0RBK3|M0RBK3_RAT Zinc finger protein 36, C3H1 type-like 2-like OS=Rattus norvegicus OX=10116 GN=LOC100911319 PE=1 SV=1;tr|D3ZHK9|D3ZHK9_RAT Zinc finger protein 36, C3H type-like 2 OS=Rattus norvegicus OX=10116 GN=Zfp36l2 PE=1 SV=1",0,0,42297,0,0,0,50957,0,0,0,0,0,0,0,33717
D3ZHM5,tr|D3ZHM5|D3ZHM5_RAT Homeobox A10 OS=Rattus norvegicus OX=10116 GN=LOC100911668 PE=4 SV=1,0,3542.8,0,0,0,0,31286,0,0,0,0,0,0,0,0
D3ZHM7,"tr|D3ZHM7|D3ZHM7_RAT Deoxynucleotidyltransferase, terminal,-interacting protein 2 OS=Rattus norvegicus OX=10116 GN=Dnttip2 PE=1 SV=2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3ZI42,tr|D3ZI42|D3ZI42_RAT Leucine-rich repeat and sterile alpha motif-containing 1 OS=Rattus norvegicus OX=10116 GN=Lrsam1 PE=1 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3ZPW6,"tr|D3ZPW6|D3ZPW6_RAT L antigen family, member 3 OS=Rattus norvegicus OX=10116 GN=Lage3 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3ZPX0,tr|D3ZPX0|D3ZPX0_RAT RCG23367 OS=Rattus norvegicus OX=10116 GN=Zmym5 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3ZRC3;D3ZRG7,tr|D3ZRC3|D3ZRC3_RAT RNA-binding motif protein 26 OS=Rattus norvegicus OX=10116 GN=Rbm26 PE=1 SV=2;tr|D3ZRG7|D3ZRG7_RAT RNA-binding motif protein 26 OS=Rattus norvegicus OX=10116 GN=Rbm26 PE=1 SV=2,36242,0,11971,0,0,59558,0,0,5417.3,0,0,0,30495,0,27228
D3ZS88,tr|D3ZS88|D3ZS88_RAT Activating transcription factor 7-interacting protein OS=Rattus norvegicus OX=10116 GN=Atf7ip PE=1 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3ZWC6,"tr|D3ZWC6|D3ZWC6_RAT Syntrophin, basic 1 (Predicted) OS=Rattus norvegicus OX=10116 GN=Sntb1 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3ZY52,tr|D3ZY52|D3ZY52_RAT Eomesodermin OS=Rattus norvegicus OX=10116 GN=Eomes PE=4 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3ZYJ5,tr|D3ZYJ5|D3ZYJ5_RAT GRAM domain-containing 1B OS=Rattus norvegicus OX=10116 GN=Gramd1b PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,13550,0,29301
D3ZZT9,tr|D3ZZT9|D3ZZT9_RAT Collagen type XIV alpha 1 chain OS=Rattus norvegicus OX=10116 GN=Col14a1 PE=1 SV=3,0,0,13387,0,0,40822,102350,14281,0,112670,2189,28144,0,0,17894
D4A1A5,tr|D4A1A5|D4A1A5_RAT Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit OS=Rattus norvegicus OX=10116 GN=Ppp2r5c PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D4A1H8,"tr|D4A1H8|D4A1H8_RAT PWP1 homolog, endonuclein OS=Rattus norvegicus OX=10116 GN=Pwp1 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D4A3E3,tr|D4A3E3|D4A3E3_RAT AT-rich interaction domain 1A OS=Rattus norvegicus OX=10116 GN=Arid1a PE=1 SV=3,0,0,0,0,0,0,50697,0,0,0,0,0,63291,52487,91157
D4A3T3,tr|D4A3T3|D4A3T3_RAT Chromobox 1 OS=Rattus norvegicus OX=10116 GN=Cbx1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,29015,0,0,89914,0,70232
D4A4Z0,"tr|D4A4Z0|D4A4Z0_RAT Coiled-coil domain containing 12 (Predicted), isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Ccdc12 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,26524,0,70832
D4A962,tr|D4A962|D4A962_RAT Heterogeneous nuclear ribonucleoprotein U-like 1 OS=Rattus norvegicus OX=10116 GN=Hnrnpul1 PE=1 SV=1,0,0,0,0,0,0,14506,0,0,82687,0,0,0,0,34568
D4AAI2,"tr|D4AAI2|D4AAI2_RAT Histocompatibility (Minor) HA-1 (Predicted), isoform CRA_b OS=Rattus norvegicus OX=10116 GN=Arhgap45 PE=1 SV=1",0,0,0,0,0,0,52078,0,0,17985,0,0,51105,44798,27193
D4AB67,tr|D4AB67|D4AB67_RAT Histidine-rich carboxyl terminus 1 OS=Rattus norvegicus OX=10116 GN=Hrct1 PE=4 SV=1,0,0,0,0,0,18991,1094.2,0,0,0,0,0,0,0,0
D4AC33,tr|D4AC33|D4AC33_RAT Methylcytosine dioxygenase TET OS=Rattus norvegicus OX=10116 GN=Tet2 PE=3 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D4ACW0,tr|D4ACW0|D4ACW0_RAT RNA-binding motif protein 6 OS=Rattus norvegicus OX=10116 GN=Rbm6 PE=1 SV=1,0,0,0,0,0,0,52614,0,0,0,0,0,0,0,193460
D4ACX1;P36201,tr|D4ACX1|D4ACX1_RAT Uncharacterized protein OS=Rattus norvegicus OX=10116 PE=4 SV=2;sp|P36201|CRIP2_RAT Cysteine-rich protein 2 OS=Rattus norvegicus OX=10116 GN=Crip2 PE=2 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D4AE06,tr|D4AE06|D4AE06_RAT Peptidylprolyl isomerase OS=Rattus norvegicus OX=10116 GN=Fkbp15 PE=1 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,5404.7,0,27984
D4AEG3,tr|D4AEG3|D4AEG3_RAT Peptidyl-prolyl cis-trans isomerase OS=Rattus norvegicus OX=10116 GN=Ppil4 PE=1 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1LMP9;O88797-2;O88797,tr|F1LMP9|F1LMP9_RAT Disabled homolog 2 OS=Rattus norvegicus OX=10116 GN=Dab2 PE=1 SV=3;sp|O88797-2|DAB2_RAT Isoform p59 of Disabled homolog 2 OS=Rattus norvegicus OX=10116 GN=Dab2;sp|O88797|DAB2_RAT Disabled homolog 2 OS=Rattus norvegicus OX=10116 GN=Dab2,0,0,0,10523,19909,0,0,0,0,0,0,0,37122,0,0
F1LSM0,tr|F1LSM0|F1LSM0_RAT Ubiquitin-specific peptidase 24 OS=Rattus norvegicus OX=10116 GN=Usp24 PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1LT09,tr|F1LT09|F1LT09_RAT WD repeat domain 33 OS=Rattus norvegicus OX=10116 GN=Wdr33 PE=1 SV=2,0,0,9785,0,0,0,0,0,0,0,0,0,0,0,42170
F1LT49,tr|F1LT49|F1LT49_RAT Leucine-rich repeat-containing 47 OS=Rattus norvegicus OX=10116 GN=Lrrc47 PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1LVL5,tr|F1LVL5|F1LVL5_RAT Shroom family member 4 OS=Rattus norvegicus OX=10116 GN=Shroom4 PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,43933,0,6183.4
F1LW69;G3XEV5,tr|F1LW69|F1LW69_RAT WW domain-containing adaptor with coiled-coil OS=Rattus norvegicus OX=10116 GN=Wac PE=1 SV=3;tr|G3XEV5|G3XEV5_RAT WW domain-containing adaptor with coiled-coil OS=Rattus norvegicus OX=10116 GN=Wac PE=2 SV=1,0,0,0,14723,0,0,47274,0,0,0,0,0,0,11862,0
F1LXQ7,tr|F1LXQ7|F1LXQ7_RAT Rho GTPase-activating protein 21 OS=Rattus norvegicus OX=10116 GN=Arhgap21 PE=1 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,29048,0,8514.3
F1LY69,tr|F1LY69|F1LY69_RAT Intraflagellar transport 140 OS=Rattus norvegicus OX=10116 GN=Ift140 PE=4 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1LYQ8,"sp|F1LYQ8|FARP1_RAT FERM, ARHGEF and pleckstrin domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Farp1 PE=1 SV=2",0,0,0,0,0,0,11710,0,0,0,0,0,18861,0,0
F1M1D2,tr|F1M1D2|F1M1D2_RAT TGF-beta-activated kinase 1 (MAP3K7)-binding protein 3 OS=Rattus norvegicus OX=10116 GN=Tab3 PE=1 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1M3A0,tr|F1M3A0|F1M3A0_RAT Fibrosin-like 1 OS=Rattus norvegicus OX=10116 GN=Fbrsl1 PE=4 SV=3,0,0,0,0,0,0,0,0,34571,0,65254,0,0,0,0
F1M4W7,tr|F1M4W7|F1M4W7_RAT Cleavage stimulation factor subunit 3 OS=Rattus norvegicus OX=10116 GN=Cstf3 PE=1 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1M7Z1,tr|F1M7Z1|F1M7Z1_RAT Enhancer of mRNA-decapping protein 3 OS=Rattus norvegicus OX=10116 GN=Edc3 PE=1 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1M853,tr|F1M853|F1M853_RAT Ribosome-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Rrbp1 PE=1 SV=3,0,0,0,0,1008.8,0,0,0,0,0,0,0,0,0,56078
F1M8I7;O08719-2;O08719,tr|F1M8I7|F1M8I7_RAT Ena/VASP-like protein OS=Rattus norvegicus OX=10116 GN=Evl PE=1 SV=1;sp|O08719-2|EVL_RAT Isoform 2 of Ena/VASP-like protein OS=Rattus norvegicus OX=10116 GN=Evl;sp|O08719|EVL_RAT Ena/VASP-like protein OS=Rattus norvegicus OX=10116 GN=E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1M965;Q6AY92,tr|F1M965|F1M965_RAT Choline transporter-like protein 3 OS=Rattus norvegicus OX=10116 GN=Slc44a3 PE=3 SV=3;sp|Q6AY92|CTL3_RAT Choline transporter-like protein 3 OS=Rattus norvegicus OX=10116 GN=Slc44a3 PE=2 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q6TUE4;F1M994;Q63627,tr|Q6TUE4|Q6TUE4_RAT LRRGT00100 OS=Rattus norvegicus OX=10116 GN=Scaf4 PE=2 SV=1;tr|F1M994|F1M994_RAT SR-related and CTD-associated factor 4 OS=Rattus norvegicus OX=10116 GN=Scaf4 PE=1 SV=3;sp|Q63627|SCAF4_RAT SR-related and CTD-associated factor 4 OS=Ratt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1MA89,tr|F1MA89|F1MA89_RAT Cyclin Y OS=Rattus norvegicus OX=10116 GN=Ccny PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1MA98,sp|F1MA98|TPR_RAT Nucleoprotein TPR OS=Rattus norvegicus OX=10116 GN=Tpr PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F2W8B0;P22734-2;P22734,tr|F2W8B0|F2W8B0_RAT Catechol O-methyltransferase OS=Rattus norvegicus OX=10116 GN=Comt PE=3 SV=1;sp|P22734-2|COMT_RAT Isoform Soluble of Catechol O-methyltransferase OS=Rattus norvegicus OX=10116 GN=Comt;sp|P22734|COMT_RAT Catechol O-methyltransferase OS=,0,0,0,0,0,0,0,0,0,0,0,0,6806.7,0,22970
F2Z3T9,tr|F2Z3T9|F2Z3T9_RAT U2 snRNP auxiliary factor large subunit OS=Rattus norvegicus OX=10116 GN=U2af2 PE=1 SV=2,51271,0,44397,25253,32082,91351,43024,49290,101930,0,0,0,77443,42003,137180
F6Q5G6,tr|F6Q5G6|F6Q5G6_RAT Aprataxin and PNKP-like factor OS=Rattus norvegicus OX=10116 GN=Aplf PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3V6P1;P07174,"tr|G3V6P1|G3V6P1_RAT Nerve growth factor receptor (TNFR superfamily, member 16) OS=Rattus norvegicus OX=10116 GN=Ngfr PE=1 SV=1;sp|P07174|TNR16_RAT Tumor necrosis factor receptor superfamily member 16 OS=Rattus norvegicus OX=10116 GN=Ngfr PE=1 SV=1",0,0,0,0,0,0,0,0,0,49303,13158,0,0,30580,0
G3V6S8,sp|G3V6S8|SRSF6_RAT Serine/arginine-rich splicing factor 6 OS=Rattus norvegicus OX=10116 GN=Srsf6 PE=1 SV=1,0,0,0,0,0,0,0,0,0,8293.7,0,0,0,0,72658
Q6AYZ7;G3V7B5;Q63468,tr|Q6AYZ7|Q6AYZ7_RAT Phosphoribosyl pyrophosphate synthetase-associated protein 1 OS=Rattus norvegicus OX=10116 GN=Prpsap1 PE=2 SV=2;tr|G3V7B5|G3V7B5_RAT Phosphoribosyl pyrophosphate synthase-associated protein 1 OS=Rattus norvegicus OX=10116 GN=Prpsap1 PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3V7L0;P24483,"tr|G3V7L0|G3V7L0_RAT Adrenodoxin, mitochondrial OS=Rattus norvegicus OX=10116 GN=Fdx1 PE=1 SV=1;sp|P24483|ADX_RAT Adrenodoxin, mitochondrial OS=Rattus norvegicus OX=10116 GN=Fdx1 PE=2 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3V7Q4,tr|G3V7Q4|G3V7Q4_RAT Tyrosine-protein phosphatase non-receptor type 12 OS=Rattus norvegicus OX=10116 GN=Ptpn12 PE=1 SV=1,0,0,0,0,0,0,20592,0,0,0,0,0,24704,0,0
G3V7W3;P54258,tr|G3V7W3|G3V7W3_RAT Atrophin-1 OS=Rattus norvegicus OX=10116 GN=LOC100911672 PE=1 SV=1;sp|P54258|ATN1_RAT Atrophin-1 OS=Rattus norvegicus OX=10116 GN=Atn1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3V9M1,tr|G3V9M1|G3V9M1_RAT RNA helicase OS=Rattus norvegicus OX=10116 GN=Ddx23 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3V9W0,tr|G3V9W0|G3V9W0_RAT Centrin 2 OS=Rattus norvegicus OX=10116 GN=Cetn2 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3B8P7;M0R7R2,"tr|Q3B8P7|Q3B8P7_RAT RCG58555, isoform CRA_a OS=Rattus norvegicus OX=10116 GN=LOC683897 PE=2 SV=1;tr|M0R7R2|M0R7R2_RAT Similar to Protein C6orf203 OS=Rattus norvegicus OX=10116 GN=LOC683897 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,14028,0,6110.9
Q6IE58;M0R9B5,tr|Q6IE58|Q6IE58_RAT Mast cell protease 8-like 2 OS=Rattus norvegicus OX=10116 GN=mcpt8l2 PE=2 SV=1;tr|M0R9B5|M0R9B5_RAT Mast cell protease 8-like 2 OS=Rattus norvegicus OX=10116 GN=Mcpt8l2 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M0R9Z5,tr|M0R9Z5|M0R9Z5_RAT Interferon regulatory factor 2-binding protein 2 OS=Rattus norvegicus OX=10116 GN=Irf2bp2 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M0RBL8;M0RDJ7,"tr|M0RBL8|M0RBL8_RAT Transcription elongation factor A (SII)-like 6 OS=Rattus norvegicus OX=10116 GN=Tceal6 PE=1 SV=1;tr|M0RDJ7|M0RDJ7_RAT RCG20041, isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Tceal5 PE=4 SV=1",29117,0,0,4922,14329,0,134330,0,0,0,0,0,0,0,0
M0RD40,tr|M0RD40|M0RD40_RAT Non-specific serine/threonine protein kinase OS=Rattus norvegicus OX=10116 GN=Sik3 PE=1 SV=2,0,0,0,31458,0,16683,40584,0,15988,0,17583,0,28493,21474,9206.8
Q6AZ40;O08618,tr|Q6AZ40|Q6AZ40_RAT Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Rattus norvegicus OX=10116 GN=Prpsap2 PE=1 SV=1;sp|O08618|KPRB_RAT Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Rattus norvegicus OX=10116 GN=Prpsap2 PE=1 S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q6LDZ3;P04157-2;P04157-3;P04157-5;P04157-4;P04157,tr|Q6LDZ3|Q6LDZ3_RAT Protein-tyrosine-phosphatase OS=Rattus norvegicus OX=10116 GN=L-CA PE=2 SV=1;sp|P04157-2|PTPRC_RAT Isoform 2 of Receptor-type tyrosine-protein phosphatase C OS=Rattus norvegicus OX=10116 GN=Ptprc;sp|P04157-3|PTPRC_RAT Isoform 3 of Rece,8868.4,0,33663,79039,0,0,53872,0,28234,45511,51075,96048,31759,34035,12421
P09456,sp|P09456|KAP0_RAT cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Rattus norvegicus OX=10116 GN=Prkar1a PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,264340,0,6685.5
P16443,sp|P16443|DBP_RAT D site-binding protein OS=Rattus norvegicus OX=10116 GN=Dbp PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P17425,"sp|P17425|HMCS1_RAT Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Rattus norvegicus OX=10116 GN=Hmgcs1 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q6IE67;P18422,tr|Q6IE67|Q6IE67_RAT Proteasome subunit alpha type OS=Rattus norvegicus OX=10116 GN=psma3l PE=2 SV=1;sp|P18422|PSA3_RAT Proteasome subunit alpha type-3 OS=Rattus norvegicus OX=10116 GN=Psma3 PE=1 SV=3,0,0,0,10966,0,0,168010,0,0,102030,0,50205,328280,0,303990
P23347,sp|P23347|B3A2_RAT Anion exchange protein 2 OS=Rattus norvegicus OX=10116 GN=Slc4a2 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,11889,0,15697
P41542,sp|P41542|USO1_RAT General vesicular transport factor p115 OS=Rattus norvegicus OX=10116 GN=Uso1 PE=1 SV=1,0,0,0,0,0,0,29037,0,0,0,0,0,39214,0,0
P41777;A0JN19,sp|P41777|NOLC1_RAT Nucleolar and coiled-body phosphoprotein 1 OS=Rattus norvegicus OX=10116 GN=Nolc1 PE=1 SV=2;tr|A0JN19|A0JN19_RAT Nolc1 protein (Fragment) OS=Rattus norvegicus OX=10116 GN=Nolc1 PE=2 SV=1,32951,0,51216,12699,1300.1,0,64126,0,20946,0,12057,0,451290,6669.5,87930
P45592;A0A0G2KA35;M0RC65,sp|P45592|COF1_RAT Cofilin-1 OS=Rattus norvegicus OX=10116 GN=Cfl1 PE=1 SV=3,397980,168480,77053,649820,0,68139,91108,116120,196850,624860,210240,683440,0,259530,241250
P51639,sp|P51639|HMDH_RAT 3-hydroxy-3-methylglutaryl-coenzyme A reductase OS=Rattus norvegicus OX=10116 GN=Hmgcr PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P62329;M0R7Y9;A0A0G2K021,sp|P62329|TYB4_RAT Thymosin beta-4 OS=Rattus norvegicus OX=10116 GN=Tmsb4x PE=1 SV=2,0,14214,20445,63236,0,10764,77168,0,15666,0,19630,17403,46638,40353,0
P70600-3;P70600,sp|P70600-3|FAK2_RAT Isoform 3 of Protein-tyrosine kinase 2-beta OS=Rattus norvegicus OX=10116 GN=Ptk2b;sp|P70600|FAK2_RAT Protein-tyrosine kinase 2-beta OS=Rattus norvegicus OX=10116 GN=Ptk2b PE=1 SV=1,0,0,0,15245,0,0,0,0,0,0,0,0,102070,7684.9,10169
P80386,sp|P80386|AAKB1_RAT 5-AMP-activated protein kinase subunit beta-1 OS=Rattus norvegicus OX=10116 GN=Prkab1 PE=1 SV=4,11150,9111.9,129700,129330,0,8228.3,31474,0,94447,88055,40725,222670,0,67506,33842
P82995;Q6B437,sp|P82995|HS90A_RAT Heat shock protein HSP 90-alpha OS=Rattus norvegicus OX=10116 GN=Hsp90aa1 PE=1 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,25538,0,40904
Q04931,sp|Q04931|SSRP1_RAT FACT complex subunit SSRP1 OS=Rattus norvegicus OX=10116 GN=Ssrp1 PE=1 SV=2,0,0,0,0,0,0,35489,0,0,0,0,0,35394,0,21905
Q3MID3,sp|Q3MID3|ARFG2_RAT ADP-ribosylation factor GTPase-activating protein 2 OS=Rattus norvegicus OX=10116 GN=Arfgap2 PE=1 SV=1,0,0,25428,0,0,0,20023,0,0,0,0,0,0,0,69693
Q498D5,sp|Q498D5|RMD2_RAT Regulator of microtubule dynamics protein 2 OS=Rattus norvegicus OX=10116 GN=Rmdn2 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q498U0,sp|Q498U0|CD003_RAT Uncharacterized protein C4orf3 homolog OS=Rattus norvegicus OX=10116 PE=1 SV=1,0,0,0,50633,0,0,120050,0,32504,0,51362,0,40389,32852,66806
Q4G008,sp|Q4G008|K0930_RAT Uncharacterized protein KIAA0930 homolog OS=Rattus norvegicus OX=10116 PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
