Protein_names	Gene_names	UniprotID	LFQ_intensity_1_1	LFQ_intensity_1_2	LFQ_intensity_2_1	LFQ_intensity_2_2	LFQ_intensity_20_1	LFQ_intensity_20_2	LFQ_intensity_22_1	LFQ_intensity_22_2	LFQ_intensity_28_1	LFQ_intensity_28_2	LFQ_intensity_29_1	LFQ_intensity_29_2	LFQ_intensity_31_1	LFQ_intensity_31_2	LFQ_intensity_33_1	LFQ_intensity_33_2	LFQ_intensity_36_1	LFQ_intensity_36_2	LFQ_intensity_37_1	LFQ_intensity_37_2	LFQ_intensity_39_1	LFQ_intensity_39_2	LFQ_intensity_4_1	LFQ_intensity_4_2	LFQ_intensity_25_1	LFQ_intensity_25_2	LFQ_intensity_8_1	LFQ_intensity_8_2	LFQ_intensity_9_1	LFQ_intensity_9_2__
Alpha-2-macroglobulin	A2m	P06238	0	0	0	0	1582.4	1101	6235.1	9290	19156	15094	2043.3	6110.9	0	6345.1	1795.9	533.41	16698	19153	5586	5852.4	11061	13601	0	0	8224	15092	12003	8289	5104	3802
"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha"	Ptma	P06302	54954	37449	40426	42782	10936	0	3116.6	1587.9	29029	33138	27812	26995	9907.9	10333	42064	49002	30214	13459	8997.3	3265.1	18808	19515	47055	40314	12021	11135	15617	18466	492770	368860
Histone H1t	Hist1h1t	P06349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain	Fga	P06399	63493	54841	54198	42827	60577	73494	99878	93682	78902	83168	137990	141930	88821	91600	81293	84994	76618	72995	64486	54542	126350	125430	119400	134680	103410	98561	137870	136800	183090	173690
Glucocorticoid receptor	Nr3c1	P06536-2	0	0	0	36789	0	0	0	0	97563	102270	32063	0	103200	73030	49780	49723	70006	65599	0	49553	50358	60715	51296	42726	0	51087	0	37055	0	23295
Sodium/potassium-transporting ATPase subunit alpha-1	Atp1a1	P06685	49162	45962	37655	55715	82543	83167	81559	82895	68143	55892	104490	103750	70743	66280	97376	82830	68547	70456	89533	93028	76624	75676	77511	72048	63570	71573	88273	92117	78938	59207
Sodium/potassium-transporting ATPase subunit alpha-2	Atp1a2	P06686	4763.3	0	11289	10776	0	0	1851.9	1452.2	0	0	0	0	9481.3	25233	3750.7	4007.9	0	0	0	0	0	0	3540.7	0	0	0	0	0	0	0
Alcohol dehydrogenase 1	Adh1	P06757	385180	232930	183160	207550	73924	89063	282040	279720	127200	166930	195680	191100	298360	276300	119650	121890	218380	203890	212190	214610	357080	367200	73617	43830	345480	334160	247190	254050	0	0
Apolipoprotein C-III	Apoc3	P06759	0	0	0	0	0	0	37098	25188	13837	17431	21857	24357	0	0	0	0	0	13346	13665	11052	22369	12484	12155	14728	0	0	6264.3	0	29564	27828
78 kDa glucose-regulated protein	Hspa5	P06761	463200	483070	415350	407650	1056200	1056000	737350	697920	586240	684220	722630	660160	438210	445250	1091500	1158800	723700	733380	647850	649260	762300	754660	606730	600070	660920	675090	776400	790910	1551300	1613900
Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain	Hp	P06866-2	16594	241980	227860	253900	7597.1	7644	27424	30761	63958	49033	19373	20258	21715	19429	36614	30343	18121	18796	5503.6	7818	24476	11838	43317	46358	12381	13473	42765	41387	20102	17955
Glia-derived nexin	Serpine2	P07092	0	0	3620.3	11654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annexin A1	Anxa1	P07150	359410	516180	455700	474340	365190	361080	519690	511020	556560	594710	436990	428230	427280	407660	299170	311510	443370	444650	464860	460270	369530	355170	500190	490820	455890	468700	471760	467960	352940	374340
Beta-2-microglobulin	B2m	P07151	63651	334260	155500	158100	0	0	0	0	0	0	0	0	0	0	11279	9373.2	7915	13007	0	0	0	0	0	0	0	3889.7	0	8566.8	5840.5	7920.5
Stromelysin-2	Mmp10	P07152	0	0	44512	0	12534	27963	100230	90201	0	97173	96208	0	91223	88036	0	7700.4	40634	4608.2	98761	95945	75048	0	0	0	151250	141640	79095	0	0	0
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	Rpn1	P07153	104700	53144	68082	89893	199640	193820	118950	121180	103720	94518	130520	132990	112440	114910	171240	163050	146120	153800	121780	141930	150510	152760	135230	143690	108710	119860	145310	144960	252160	276090
Cathepsin L1;Procathepsin L;Cathepsin L1 heavy chain;Cathepsin L1 light chain	Ctsl	P07154	0	1130.5	3991.7	3591.7	118770	81531	38313	42609	0	9545.9	5963.4	8576.9	2995.6	2503.6	73807	62105	59688	44386	16156	4486.1	42561	35542	677.66	0	58498	60069	17444	23922	113050	113480
Tumor necrosis factor receptor superfamily member 16	Ngfr	P07174	0	0	0	0	0	0	19186	18752	20041	19207	30214	32855	0	0	0	0	5390.2	6387.1	18964	19978	15180	16185	0	0	10455	9118.1	20200	21908	0	0
Gamma-enolase	Eno2	P07323	55682	107120	57336	73373	104660	103680	112350	115200	95314	78895	132950	128020	124760	133490	45923	46552	118100	125360	113870	112630	119830	118210	79368	75875	110510	100500	75911	90157	72824	71415
Creatine kinase B-type	Ckb	P07335	932750	754030	616110	645960	764120	827010	1241300	1222700	1249100	1420100	1434700	1414800	1178900	1048100	830750	799760	989000	945360	1514900	1583300	1161100	1187400	736680	703870	1191000	1122500	1471200	1355500	466940	489860
Sodium/potassium-transporting ATPase subunit beta-1	Atp1b1	P07340	0	0	0	0	13621	21687	6078.2	4961.2	0	0	7777.4	0	5640.5	10180	8318	0	4580.2	0	8866.9	6947.5	2253.5	0	0	0	2876	0	8766.5	0	25297	24890
"Fatty acid-binding protein, heart"	Fabp3	P07483	0	0	1028.5	1591.8	13521	11649	838.96	879.61	2494.6	4183.1	0	660.27	0	735.62	80071	83052	1440	1086.2	0	0	0	0	22340	23554	4917.9	0	0	0	9784.8	25159
Superoxide dismutase [Cu-Zn]	Sod1	P07632	48712	37478	32764	40728	25374	22468	45009	43667	6084.2	6644.9	15633	15037	10058	6869	93765	99099	40491	38461	10968	6509.2	8198.1	5267.4	100090	116690	14570	11139	39811	37103	9255.1	11133
"Propionyl-CoA carboxylase beta chain, mitochondrial"	Pccb	P07633	30584	18823	14399	8635.1	14572	11544	30496	26176	23847	30321	32944	37116	30520	21716	26221	27127	32778	30118	26948	32923	26299	31992	56809	85374	20636	21855	33259	24382	23438	16388
Epoxide hydrolase 1	Ephx1	P07687	27540	26059	15007	12213	1387.7	0	9340.7	16109	10525	17348	5057.7	2782.4	5191.9	14243	12776	15867	5206.6	11938	0	9224.3	10838	9657.6	58187	62402	11252	11354	10605	16937	0	8060.5
Neprilysin	Mme	P07861	0	110850	56570	70299	5574.3	4357.6	3224.9	5304	3266.9	2631.7	5931	7459.4	24373	16626	4098.6	5342	25094	19457	6262.8	6292.7	10157	8936.6	2133.7	0	0	6290.7	3870.1	0	13012	20623
"3-ketoacyl-CoA thiolase B, peroxisomal"	Acaa1b	P07871	1012.6	14763	0	13739	36718	37551	26037	24475	59727	41305	33961	37079	39196	36658	21937	19666	33241	30183	20814	24527	18520	29421	66428	67047	11967	35917	23416	2612	63420	80728
"Peroxisomal acyl-coenzyme A oxidase 1;Peroxisomal acyl-CoA oxidase 1, A chain;Peroxisomal acyl-CoA oxidase 1, B chain;Peroxisomal acyl-CoA oxidase 1, C chain"	Acox1	P07872-2	18259	31854	0	0	17700	21228	18953	22886	9539.3	0	34895	34040	0	0	0	0	37852	40162	12923	14225	28726	33084	41045	44283	28314	27483	27300	24785	61277	54683
"Superoxide dismutase [Mn], mitochondrial"	Sod2	P07895	44697	54737	38893	39854	20512	24648	72819	67379	38154	17612	25830	26543	62974	62731	27226	28482	49023	48883	55889	56688	43494	46345	40879	37711	61491	62732	53067	53508	7130.9	10168
"Peroxisomal bifunctional enzyme;Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase;3-hydroxyacyl-CoA dehydrogenase"	Ehhadh	P07896	0	0	0	0	3150.9	3863.1	5848.6	6091.9	0	0	10895	18111	29451	26780	0	7151.7	7997.3	0	23306	24963	0	0	0	4365.9	4679.9	3042.5	5098.7	5088.8	0	0
Aldose reductase	Akr1b1	P07943	134880	189140	175400	185090	92938	104970	160700	144260	135240	136360	169540	206100	175750	173970	100750	113090	156660	167720	148310	148570	191430	171240	217490	152450	160460	178210	165610	151820	2837.7	5234.7
Glutathione S-transferase Yb-3	Gstm3	P08009	55011	126850	117500	127750	21948	20201	17986	18904	3989.7	9372.3	50501	48665	118200	115270	59843	54256	17935	17378	16538	14697	25855	28017	197870	201310	19742	15380	4479.7	9656.9	11661	6308.3
Glutathione S-transferase Mu 2	Gstm2	P08010	542380	725530	723490	647350	163660	168590	172280	203110	95412	104050	285870	279810	528160	531540	348570	352260	280880	258160	182610	167820	277040	285400	930820	954790	264450	247100	144870	155890	7554.9	2881.4
Microsomal glutathione S-transferase 1	Mgst1	P08011	5248.5	0	0	0	3352.1	3301.3	6234.6	8123.4	0	0	6004.5	4114	3983.3	4756.3	5553.2	5571.2	3229.6	5263.6	6914.1	7306.5	6609	5208.2	77449	76778	2348.5	2908.9	3822.3	2002.5	0	1079.3
Gap junction alpha-1 protein	Gja1	P08050	10166	8121.4	26739	0	23630	25326	28315	26476	0	0	31027	30305	0	29766	0	9720.4	15929	14989	32856	31486	0	0	0	0	25053	24346	0	0	24183	29850
Clathrin light chain A	Clta	P08081-2	47259	132830	197590	123030	131070	135470	140160	156220	317240	318280	202070	172900	231650	195370	105970	104990	202680	199330	155950	168040	90939	161700	143870	146860	169430	206380	149010	162370	457110	423090
Clathrin light chain B	Cltb	P08082-2	0	0	0	0	15311	18391	3407.2	3769	10038	14788	10819	11100	14247	12014	13489	15073	3627.6	10608	3954.5	4324.3	5596.2	9671.2	6202.6	7263.9	8389	11833	15758	13911	56490	55323
"Alkaline phosphatase, tissue-nonspecific isozyme"	Alpl	P08289	0	36393	27777	8014	0	0	2207.8	0	0	0	0	0	10043	11571	10367	9779.8	0	8660.1	0	0	0	0	3218.5	2777.7	3626.5	4345.1	1038	2530.7	6378.1	10887
UDP-glucuronosyltransferase 1-6;UDP-glucuronosyltransferase 1-3	Ugt1a6;Ugt1a3	P08430	0	0	8745	10056	10174	8005.5	10360	13118	0	0	12122	7453	5407.4	5372.1	16042	15583	12034	12314	9034.8	0	12723	11134	29465	38575	15286	16113	16116	16724	4617.7	4204.5
Nidogen-1	Nid1	P08460	84039	185300	108950	79140	250740	182410	96137	105410	109590	130050	69277	75227	96819	76553	35012	57020	93917	91749	125220	169210	67845	50865	9632.8	19590	70911	71546	88662	68290	0	0
"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	Dlat	P08461	38175	31732	31664	27298	31078	26919	43385	43935	18778	19460	25454	25851	21671	18586	34430	43446	38845	40569	35318	31441	45318	44259	50366	55562	44754	40671	41508	39073	6805.6	13854
"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"	Acadm	P08503	51408	119610	51985	40548	18181	16053	42725	35675	15407	15602	34073	38816	32827	33941	20683	36193	25736	18788	34834	24927	38216	31652	98930	141960	34284	36969	12779	7955	7735	6950.5
Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31	App	P08592	0	0	788.16	208.49	46291	47829	439.5	548.27	0	964.89	637.48	1336.3	431.88	0	0	0	1150.5	0	1600.5	0	711.34	0	289.77	0	0	0	0	0	726.81	2774.1
"GTPase KRas;GTPase KRas, N-terminally processed;GTPase NRas;GTPase HRas;GTPase HRas, N-terminally processed"	Kras;Nras;Hras	P08644-2	9975.4	8999.8	16658	11421	10503	8985.1	10045	9034.2	13804	15335	5152.8	4271.8	12452	12368	11133	3786.5	9645.2	9960.2	10119	10518	3936.4	3841	0	0	8716.8	9077.1	10361	10802	3418.1	3418.5
Complement C4;Complement C4 beta chain;Complement C4 alpha chain;C4a anaphylatoxin;Complement C4 gamma chain	C4	P08649	358010	1278500	954000	956070	216200	225920	292200	288980	652640	616940	320720	323560	414340	398090	113990	102460	149180	160200	399940	414170	387880	383010	241620	227870	689830	670160	194950	185630	85270	76417
Complement C5;C5a anaphylatoxin	C5	P08650	0	0	3446.5	0	0	0	3073.3	0	0	4909.6	0	0	0	0	0	0	3619	0	1250.4	0	7409.3	7782.8	839.29	573.28	4056.1	3835.4	2840	0	0	0
Galectin-3	Lgals3	P08699	34590	60039	76549	66372	35690	48192	17107	17885	21463	5172.7	5727.9	5470.3	3188.5	4198.8	14619	18936	11859	11538	3194.8	3248.7	8921.5	7387.9	47875	53701	21618	18920	20128	18714	10726	8988.5
Osteopontin	Spp1	P08721	0	0	0	0	14889	15102	0	0	0	0	614.46	0	1620.5	0	0	0	0	0	0	0	0	0	0	9609.5	0	0	0	0	0	0
Guanine nucleotide-binding protein G(k) subunit alpha	Gnai3	P08753	0	0	9178.2	12333	3298.2	5562.1	6023.5	9459	6818.6	6604	0	1514.5	2794.9	0	15856	20841	7645.3	9409.7	7437.2	6319	12511	11952	25497	19156	12276	10794	12868	8988	8190	0
T-kininogen 2;T-kininogen 2 heavy chain;T-kinin;T-kininogen 2 light chain		P08932	333580	818110	630350	752360	147870	158310	313730	340760	319390	317830	342590	342010	372560	376340	350210	329490	273120	287120	260470	285880	462590	459600	179240	218380	470150	455150	431210	440660	324830	338220
Kininogen-1;Kininogen-1 heavy chain;Bradykinin;Kininogen-1 light chain	Kng1	P08934	33702	18290	43240	55952	10122	3760.6	23905	27913	11846	13419	27461	25176	30763	26848	6731	5467.3	14770	16468	11985	9704.7	31008	21696	17862	7618	27576	28362	12900	14533	5690.9	7417.6
Serine protease inhibitor A3N	Serpina3n	P09006	146370	206250	83400	95051	63799	66335	53755	52188	102360	106770	127520	126150	199390	197200	75411	57339	53527	59073	93660	88972	122270	127170	71356	55125	104590	106990	79850	77547	59363	62938
Argininosuccinate synthase	Ass1	P09034	0	3202.1	16611	13733	5126.6	15224	90891	91804	21885	6086.5	0	0	0	10305	32698	34416	24768	21688	12503	12289	7642	10026	2674.3	0	38654	35541	14248	12206	38548	56106
Fructose-bisphosphate aldolase C	Aldoc	P09117	0	0	22643	21821	25152	28406	4937.4	0	0	12017	5205.6	4512.6	29082	31583	29931	25007	12595	10812	9553.3	8955.9	0	0	148620	144960	0	0	3307.8	4707.6	25416	18333
Nuclear factor 1 A-type	Nfia	P09414	0	0	0	0	0	0	0	0	0	0	3302.8	0	0	6333.5	0	0	0	0	0	0	0	0	10433	9562.7	0	0	0	0	0	0
"cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed"	Prkar1a	P09456	86554	199900	94544	111410	94019	91252	85912	87599	50056	89499	56629	49128	47128	55739	54515	44355	84126	102100	36394	24346	124450	118110	147690	143230	87372	90823	90156	87669	50267	50589
Tropomyosin alpha-4 chain	Tpm4	P09495	122110	121930	124060	156000	266000	267530	171360	184670	125140	118150	219580	247660	139060	146910	180740	188150	208840	212400	167370	180330	178650	195370	196390	226670	181230	167970	168970	174270	399410	438500
Ras-related protein Rab-7a	Rab7a	P09527	86988	85106	83358	63448	60868	63226	49411	47884	38876	44544	43274	43436	59802	61511	74222	80336	52455	50968	51272	47432	55823	51266	65495	69939	57452	60550	49767	50000	40659	36326
Glutamine synthetase	Glul	P09606	0	0	0	5199.4	2899.5	2268.6	2072.4	0	28751	25674	8140.3	12956	5830.1	8173.4	1666	0	11025	9960.9	20652	23043	9334.2	10301	23770	24113	37513	37943	10161	0	11675	10197
Mast cell protease 1	Mcpt1	P09650	197210	31305	34076	66154	23935	20580	49415	44926	6738.5	8972.5	1129.7	0	24163	8816.1	52226	59108	104730	96150	18086	17028	71136	87794	215200	226810	30909	25121	0	6041.8	0	0
"Glycogen phosphorylase, liver form"	Pygl	P09811	1807.6	0	6625.6	6037.9	46119	41194	17335	15275	1229	5254.7	19847	14853	32342	33944	15919	5819.9	16022	6081.3	12528	13232	1029.4	6027.6	66267	33210	0	0	8381.5	8621.9	17246	13473
"Glycogen phosphorylase, muscle form"	Pygm	P09812	35320	19269	36177	34851	15748	18726	15422	12170	16597	20050	56171	53749	66019	60961	16918	19330	22758	26013	29962	28813	34365	39834	9573.2	8344.3	7331.5	4144.1	22542	27572	5914.2	14586
60S ribosomal protein L5	Rpl5	P09895	25893	45996	52102	50083	48663	46728	57074	59470	75501	73653	57918	51900	46138	50775	47017	39553	61690	56931	53257	48712	64631	64941	18786	18355	45700	36386	46273	46327	59834	53003
Vacuolar protein-sorting-associated protein 25	Vps25	P0C0A1	0	0	4091.9	13854	30645	25702	27375	21257	20567	26026	22685	24770	34057	30013	11551	22135	20637	20956	21137	25417	14061	17277	20783	15866	23610	19226	37421	39585	16894	24377
Phosphoinositide 3-kinase regulatory subunit 4	Pik3r4	P0C0R5	71384	0	0	0	105750	0	0	15172	12217	17023	12132	13390	11179	0	12576	0	5373.3	6913.4	12366	0	14876	12079	113510	105340	0	7653.7	606.68	0	0	0
Histone H2A.Z	H2afz	P0C0S7	336650	318430	249770	260850	120430	122970	133680	144480	238250	225110	178150	153590	370210	407780	347520	299420	186210	185700	165040	180030	146600	147530	120780	104550	149860	149920	138350	145570	138830	120200
Lysophosphatidylcholine acyltransferase 2	Lpcat2	P0C1Q3	0	0	0	0	0	0	3233.5	6990	2062.7	0	0	0	0	3643.2	0	0	0	1874.4	0	0	2798.8	1805.4	0	0	5584.9	6265.7	0	0	0	0
AP2-associated protein kinase 1	Aak1	P0C1X8	15509	3709.3	13034	0	23635	39438	32034	29154	41871	38157	36387	30456	33240	36017	19416	90996	22192	27826	35215	39234	33680	38450	29996	42505	28147	32432	28906	30949	38227	71934
Sarcolemmal membrane-associated protein	Slmap	P0C219	71071	85188	75396	73982	63520	67189	84657	85001	120560	106010	64463	63423	88394	100450	57716	72986	77168	74892	89030	89374	69924	69238	4789.3	6303	68959	60679	106050	110570	5742.2	3225.9
"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"	Aldh4a1	P0C2X9	0	8956	8743.3	9196.7	6995.2	4584.1	12838	17062	22223	26336	21118	23323	29548	29698	12081	13221	16252	16618	27729	27052	16272	19493	40984	41374	20584	13290	9126	0	0	0
Patatin-like phospholipase domain-containing protein 2	Pnpla2	P0C548	0	0	0	0	48605	52301	0	0	25621	27830	66961	63516	45984	42681	0	0	0	0	29552	32053	4283.6	0	25032	27061	0	1739.5	0	0	0	0
Palladin	Palld	P0C5E3	91062	70377	71154	76760	48254	53340	108830	112220	141940	139800	111230	110410	130940	123850	44763	43378	112370	115140	114480	112520	99211	98611	11248	11536	102890	101800	110780	117930	2690.9	2889.9
Mesencephalic astrocyte-derived neurotrophic factor	Manf	P0C5H9	0	0	2545.4	6942.9	5145.5	6343.2	22571	28150	19423	13561	18940	16225	20113	19199	14397	18779	15840	18180	21438	20721	22900	24788	7639.9	7832.4	5346.4	7300.2	10996	0	0	0
Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain	Map1s	P0C5W1	378310	111580	157280	137780	167710	153260	157780	185550	203600	242940	124700	128380	151180	157020	119980	100940	158670	100920	182340	197130	68871	57609	224650	244270	126420	100910	275910	110570	26135	23219
YLP motif-containing protein 1	Ylpm1	P0CB49	0	0	0	0	0	0	0	0	0	5107.1	11059	8865.7	6049.6	0	0	0	6668.7	0	6399.4	5397.6	12563	12341	0	0	13165	14433	0	0	3419.9	4544.3
Histone H2A type 2-A	Hist2h2aa3	P0CC09	37919	169250	28213	9985.6	0	0	0	0	0	0	0	0	343350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Growth factor receptor-bound protein 10	Grb10	P0CE43	0	0	0	0	5158.6	2106.4	5226.8	2997.7	0	0	0	3033.4	0	0	682.64	2367.2	4099.3	4401.8	3553.1	2790.3	0	0	979.55	2367.8	1542.8	1703.6	0	0	3635	7445.5
Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A	Hspa1a	P0DMW1	60211	92253	90309	84006	75932	73034	68818	65559	55769	67882	51844	58179	85462	84617	32161	34604	47131	47888	56167	58472	39427	39489	25205	24385	42707	38866	65819	73809	5765.4	3953
		P0DP31	1626600	8747.2	11646	0	2258.8	31912	20971	33521	15514	18157	0	14476	6228.1	4966.9	78995	86795	26796	66889	111600	42081	34514	17180	1142800	583710	813880	800000	586570	563880	0	4231.1
"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed"	Ppia	P10111	946510	1738000	1470600	1491300	470790	490400	868940	907520	919430	999080	567940	571340	692490	724900	937680	952850	932740	915410	679060	716080	780680	911230	384400	384470	796600	812060	858230	928610	590320	576890
H-2 class II histocompatibility antigen gamma chain	Cd74	P10247-2	0	0	11108	21383	11556	12969	51076	60277	0	0	10418	872.4	0	11964	0	0	0	6440.1	0	28694	0	0	0	0	29065	66013	0	0	10303	0
CD48 antigen	Cd48	P10252	26572	0	80664	46911	15564	40505	33514	38473	110200	97889	27861	22840	40472	85339	19610	29047	28550	10818	45004	41186	51692	51736	40538	17034	56556	52891	25685	24910	0	0
Ras-related protein Rab-1B	Rab1b	P10536	46567	60293	40149	42436	36443	34971	41394	42041	41465	47652	33912	32372	26997	23811	74619	76574	52072	52301	27943	28937	56934	53653	15924	14839	46731	38448	40134	41844	26957	18892
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"	Plcg1	P10686	0	12133	0	0	6816.7	7136.6	5899.7	7608.8	0	0	0	0	0	0	0	0	9825.3	11213	4386.8	0	12226	12828	0	0	12115	11737	2742.7	1835.9	6586	0
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1"	Plcd1	P10688	15853	17838	42658	44166	14301	19265	35756	23309	31077	27299	7269.8	17053	43332	31051	26418	22316	53300	48519	32137	28675	17627	5843.5	56540	55473	57631	54981	42595	57887	15399	6422.1
"ATP synthase subunit beta, mitochondrial"	Atp5b	P10719	576310	543830	562180	558630	684220	707960	585470	601040	581890	612190	632500	613910	672590	645710	682550	677100	586980	586800	662250	650230	583840	592260	969300	1019000	610740	603060	606200	642350	286290	321930
Adenosylhomocysteinase	Ahcy	P10760	145350	213670	181670	217590	113990	117430	108510	120060	173080	183060	161130	169860	290150	290750	161430	154030	146820	143860	164520	166170	129940	148370	148760	139750	163140	160540	135560	152160	73481	78403
"Cytochrome c oxidase subunit 6A1, mitochondrial"	Cox6a1	P10818	0	131390	104730	100020	28340	37921	61858	70319	66253	73266	0	12141	13570	9343.1	14000	11911	91615	55033	27274	22493	42800	58147	174950	141330	58098	46791	37918	35599	0	58576
Guanine nucleotide-binding protein G(i) subunit alpha-1	Gnai1	P10824	0	0	0	0	0	0	0	5696.6	0	0	0	0	0	0	0	0	4345.6	4214.2	0	0	0	0	6949.2	7871.8	0	0	0	0	5383.5	7318.5
"Glutamate dehydrogenase 1, mitochondrial"	Glud1	P10860	179820	159540	147920	152970	178930	182200	144170	153690	189020	203010	162810	171550	196440	207550	214560	219540	148750	144730	190490	185760	173750	166380	248580	249010	196390	185070	171730	172230	141930	167680
Guanidinoacetate N-methyltransferase	Gamt	P10868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"	Cox4i1	P10888	36088	0	9661.9	19100	52091	49915	41185	47194	55901	71160	57204	54921	23690	27535	39857	38824	49913	51294	58224	56041	37986	36459	73764	63207	50473	41365	52177	54721	50193	58046
Carboxylesterase 1C	Ces1c	P10959	348010	478370	239450	333890	95805	92511	96733	86945	87054	60540	117450	150140	102380	84326	63014	106150	96328	93532	74529	67865	153500	158530	173250	191730	130710	149070	87315	83459	31737	15629
Sulfated glycoprotein 1	Psap	P10960	17902	4516.6	14506	11387	11602	5632.6	9267.8	5388.9	3317.8	0	9430.7	9442.9	0	0	8882.9	6990.6	9192.8	8898	0	6597.2	9030.9	0	0	0	18751	0	35619	18616	8654.9	3627.7
Acyl-CoA-binding protein;Triakontatetraneuropeptide;Octadecaneuropeptide	Dbi	P11030	239210	542630	142660	251890	420410	342260	442320	424200	347010	341250	392600	374140	299350	343090	256300	323210	463020	414260	272300	325130	456910	480710	326300	793240	445430	355750	330940	302950	260050	308600
"Solute carrier family 2, facilitated glucose transporter member 1"	Slc2a1	P11167	0	0	1467.2	0	52999	54953	4341	4671.3	1245.8	3692.6	0	0	0	2959.8	26686	26942	5967.3	7061.8	0	0	0	0	4007.2	0	9098.2	0	0	0	47949	47869
Thioredoxin	Txn	P11232	139620	426790	213790	218930	212070	212540	205970	219050	208630	283300	195220	170140	177190	169320	232030	197210	195520	189960	203740	175430	196340	225580	98181	89681	248380	258760	223100	239790	265390	178280
"Cytochrome c oxidase subunit 5A, mitochondrial"	Cox5a	P11240	81770	169930	85909	94443	89494	72152	58105	60463	81102	104010	79753	61798	64438	68036	56565	87133	96461	99922	57427	68978	101880	93302	128430	184010	61610	78357	75408	64466	44635	20279
60S ribosomal protein L34	Rpl34	P11250	53564	0	0	1996.9	0	0	1144.5	0	5725	3228.8	0	0	0	0	41714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13730
RAF proto-oncogene serine/threonine-protein kinase	Raf1	P11345	0	0	0	0	0	0	0	0	7711.2	8463.2	0	0	0	0	0	0	6813.7	9491.6	0	0	4993.2	5909.6	0	0	10265	11820	0	0	0	0
Dihydropteridine reductase	Qdpr	P11348	9051.6	2681.2	18476	32310	23001	19281	37546	33341	21254	21360	28087	31912	48855	53071	30576	28577	32973	36772	32807	28142	38015	37659	47921	43264	46186	40941	26801	24255	13044	8498.2
Clathrin heavy chain 1	Cltc	P11442	188260	163160	136780	123660	242310	237910	211080	217330	217590	223260	198860	201380	168680	170200	263670	260110	226810	209170	223500	228660	222480	245550	190120	197060	251000	246870	224550	234240	284330	251920
Peroxisomal carnitine O-octanoyltransferase	Crot	P11466	0	0	0	0	0	0	0	2336.1	0	0	6906.7	3638	0	0	0	0	2862.6	3817.3	0	4702.3	1915.8	1050	9373.5	8386.3	0	0	0	0	0	0
Acetyl-CoA carboxylase 1;Biotin carboxylase	Acaca	P11497-2	0	0	0	0	0	0	0	0	14137	0	10898	9876.1	0	10375	68586	71671	15551	0	12115	21420	0	0	35007	39348	26264	27877	43388	0	11031	23114
Plasma membrane calcium-transporting ATPase 1	Atp2b1	P11505-6	16953	20564	30564	26869	24032	27134	26217	26070	35118	35056	30815	30924	36663	37389	40461	39282	23520	25604	40824	38132	21982	23480	47411	51560	28325	30797	26129	24889	19750	16547
Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	Atp2a2	P11507-2	67907	45689	40509	38141	87637	84844	87295	89872	71861	72466	121960	120680	88666	86062	64116	63500	84788	87459	98911	90980	103060	102440	61188	57314	82437	81375	72802	79111	90900	101140
Hemoglobin subunit beta-2		P11517	1287800	2244600	1858600	2666700	723860	707700	240590	237790	576110	714350	346550	353600	554610	432440	235050	247240	222740	240900	452900	439610	213460	215340	856800	781720	188200	176050	366110	373270	252220	249560
Dystrophin	Dmd	P11530	88898	145960	174710	237960	144290	224640	219280	224490	303240	313330	200790	208070	308250	361950	199560	183410	151300	161230	280200	283990	167830	153940	94139	72378	196670	227950	240300	221700	622070	535180
