Protein_names	Gene_names	UniprotID	LFQ_intensity_R1_1	LFQ_intensity_R1_2	LFQ_intensity_R2_1	LFQ_intensity_R2_2	LFQ_intensity_R20_1	LFQ_intensity_R20_2	LFQ_intensity_R22_1	LFQ_intensity_R22_2	LFQ_intensity_R25_1	LFQ_intensity_R25_2	LFQ_intensity_R28_1	LFQ_intensity_R28_2	LFQ_intensity_R29_1	LFQ_intensity_R29_2	LFQ_intensity_R31_1	LFQ_intensity_R31_2	LFQ_intensity_R33_1	LFQ_intensity_R33_2	LFQ_intensity_R36_1	LFQ_intensity_R36_2	LFQ_intensity_R37_1	LFQ_intensity_R37_2	LFQ_intensity_R39_1	LFQ_intensity_R39_2	LFQ_intensity_R4_1	LFQ_intensity_R4_2	LFQ_intensity_R8_1	LFQ_intensity_R8_2	LFQ_intensity_R9_1	LFQ_intensity_R9_2
Spliceosome	Ddx39b	Q63413	266980	94859	197840	223340	94370	109960	127070	150600	169630	184850	251630	276800	135420	147680	229910	216790	151330	165010	183870	181510	139040	151260	132860	142930	119820	64872	173550	153020	104000	107020
Serine/threonine-protein	Ppp1cb	P62142	66662	76976	112710	113110	73414	91757	155650	161920	143030	139750	121590	136500	163900	134710	133090	158110	116220	107230	159510	162870	164360	172610	147480	151560	48155	75111	133110	131710	129250	128940
Integrin-linked	Ilk	Q99J82	145010	192550	334540	313620	223190	217520	225390	228310	254740	251200	354690	345990	297400	269430	274650	332230	179870	197350	295890	276770	310270	326070	185910	198430	94937	90172	222300	257890	2974.4	7803.1
Isoform	Fgg;sp|P02680|FIBG_RAT	P02680-2	93685	102620	163450	175100	70076	85049	135880	136000	199570	184560	64867	71998	124510	120200	61594	75730	105360	89078	110450	112500	58445	57210	307880	303710	69661	61965	155970	167160	210490	212020
Unconventional	Myo1c	Q63355	172640	172490	132070	120460	62762	69689	84067	88102	124100	110450	137270	136960	73995	81926	90872	101100	82779	101890	97664	100710	100970	104400	85898	76346	113520	127350	109650	104240	1739.7	2650.9
ATP-dependent	Pfkp	P47860	46282	47419	40190	32632	120640	127210	117130	112550	75724	78125	63967	57586	99756	102820	61797	64661	88246	93269	47964	52811	116370	115370	78081	73269	47380	51573	118220	111600	94243	91401
Peroxiredoxin-6	Prdx6	O35244	117770	141300	263440	219390	167000	176550	186540	190920	170760	193030	145640	151350	215540	255090	205990	230640	149260	134210	206440	208740	142280	145030	232860	223290	237560	278260	111890	114970	145510	117320
Microtubule-associated	Map4	A0A0G2JW88	106290	120830	159080	167290	243620	255070	216360	221210	195860	190620	298680	340080	242120	274690	263750	266640	183570	202850	159060	169830	242170	252540	173100	167690	135580	130340	271570	284950	321300	297860
Isoform	Hnrnpd;sp|Q9JJ54|HNRPD_RAT	Q9JJ54-3	282870	222190	334430	352900	193690	221370	239300	249050	272920	293440	260540	268540	246240	281620	346510	362770	337080	294790	269320	265560	263240	242600	300300	301900	142080	157200	226270	243360	130360	151700
Keratin	Krt19	Q63279	48537	52920	116260	103790	147660	168270	129170	136880	105850	107990	68914	40166	112910	132160	49291	52236	80029	82373	81236	87625	167170	169230	48261	45334	145160	154240	70613	59213	91197	73123
Calpain-2	Capn2	Q07009	74042	63150	116620	121570	110970	103230	157170	162590	157890	178840	139810	142350	125500	121300	159080	138670	103270	112260	157310	145580	145530	148120	161560	164250	72246	76451	125170	133950	81645	93288
60S	LOC498555	D4A4D5	111650	124250	159360	125530	294460	311340	168360	157600	187940	178890	107300	82171	232830	206220	132880	127960	200880	204930	207630	191110	157710	181640	213880	237950	284840	295730	165200	160020	327430	310560
Lambda-crystallin	Cryl1	Q811X6	146320	151980	187300	165680	27693	33586	285960	293800	332370	316970	359400	360930	296460	293880	233870	237760	117920	91143	266380	253370	238830	247690	350680	316770	47697	66895	256210	254510	6599.8	0
Alpha	Ganab	D3ZAN3	167700	176920	194630	178430	195140	169820	109550	113900	126700	135330	114900	94929	103470	116360	104180	117050	176380	188930	169150	177480	118860	112140	153620	165700	98450	95390	131310	135440	169030	155920
Rab	Gdi1	P50398	126150	144020	169200	137890	115180	114010	173580	162210	178920	174840	157140	172490	201880	200990	154270	153850	167840	147210	159570	150800	178470	179910	185990	219590	118330	121880	198680	209340	67038	54621
Antithrombin-III	Serpinc1	Q5M7T5	101260	107970	148390	155930	99261	100130	110610	109980	122700	113980	113290	114950	115520	132230	185460	171420	128260	120750	102600	95023	99348	98161	140550	149610	167720	167930	89914	90821	65339	59002
6-phosphogluconate	Pgd	P85968	76433	86107	99604	97420	136500	146580	144390	138780	154870	147230	75790	77757	138990	136540	96695	97302	124310	118560	128590	118740	142920	144600	125050	111580	225840	227490	127470	120860	138250	129760
Guanine	Gnb2	P54313	155720	213960	198150	226340	87337	76048	171500	190430	191520	201380	229570	230810	178980	158970	244200	256710	196240	182320	201060	206260	215640	196420	186050	188820	188110	144640	134070	137810	63132	85668
Tropomyosin	Tpm3	Q63610	40024	45059	64606	70144	201470	206830	165160	143070	119980	130000	108990	97359	143520	156120	128870	123850	151940	159660	138200	137780	130190	140270	129430	133180	139690	138010	128330	131180	256300	267740
Glutathione	Gpx1	P04041	101190	117900	138630	148350	89243	95258	194330	178750	182090	182140	181580	222000	172610	181940	105090	146160	70941	69314	180760	151880	190700	195610	150070	135470	115940	115200	210530	234560	93309	88095
T-complex	Cct3	Q6P502	158620	143410	230920	269780	265660	261740	243540	225000	234310	231050	231620	249580	321270	332060	245160	249880	321480	343170	247070	242180	246810	268340	265500	269450	160800	133720	243590	267740	335960	321320
Nucleolin	Ncl	P13383	1118600	514150	311480	263210	280850	257560	274590	242250	251000	248240	232710	222410	193470	218590	232300	172460	375660	380250	298520	289700	199410	178400	256780	279250	71321	52983	218730	209480	271350	337800
Heat	Hspa4	F1LRV4	30789	29298	61039	67313	116700	116990	128610	135640	114160	106380	83525	67190	147250	154260	94067	92080	137070	104720	136850	127780	127770	133030	133260	135520	125520	113060	96970	94895	141890	147120
T-complex	Cct5	Q68FQ0	73143	73640	65480	65058	128080	128390	131120	126650	119320	113030	95561	108390	132340	144500	101910	98378	124900	129060	119920	109500	122690	120670	146700	133430	70067	69903	112650	116830	133550	130270
ATP	Atp5pd	P31399	92458	117500	185430	230990	200420	194090	348600	388990	308100	320250	223190	258860	253220	345260	250450	225660	209340	349360	325560	343990	199340	255110	375540	397030	62650	126450	304450	304590	152430	203760
Acyl-CoA-binding	Dbi	P11030	217760	253780	320650	215520	446380	391450	485800	449230	377310	396250	327310	316740	449950	496560	247100	295730	381340	319990	459600	412810	247310	262280	455600	523220	1144800	743640	351060	354920	225220	355070
Cathepsin	Ctsb	Q6IN22	54840	67325	223710	265970	239210	225100	146520	166930	167500	155690	99322	97563	67665	83163	210220	171780	151280	141270	196830	205410	114330	140590	97458	113220	185920	190690	105280	100040	183890	188200
Matrin-3	Matr3	A0A0G2JSR7	554910	506930	673080	621350	347180	350180	351710	342170	367680	357230	546710	565690	331960	391910	649620	654430	371720	338940	429600	429930	415460	409880	408480	407900	404630	423420	306680	321200	187900	210030
Eosinophil	Epx	D3ZSY4	508.86	0	0	0	0	405.91	143020	67251	30412	64532	11361	5677.2	23905	23331	0	811.2	0	3062.5	545110	534530	235670	298650	142900	138920	2222.9	183.65	208970	183460	7757.7	7351
Haptoglobin	Hp	P06866	2797.7	3205.6	207050	196710	43536	48959	48639	56915	37179	28603	47451	46129	64224	45320	23447	25475	124210	129250	53696	60266	31198	27270	71946	59237	574990	545920	126300	97810	339850	417100
Prostacyclin	Ptgis	Q62969	138090	142670	117790	111630	122170	131390	114310	114940	100040	100840	134610	119350	221100	239300	162920	150570	116990	103930	110420	112860	194880	198870	117830	111340	40232	29952	147580	150280	0	6401.8
Ras-related	Rab1A	Q6NYB7	140080	144830	178280	171660	155510	148080	147490	148020	160390	140180	189570	173800	97037	86971	80131	93152	229710	231200	149690	149130	103500	88928	149300	155330	15828	24282	138540	146940	96402	93887
Septin-7	Sept7	F1LMC7	136800	143210	214050	224450	88629	88106	148940	138780	162920	165200	141260	134820	118520	137610	140970	148810	123190	111010	150440	150370	126830	125800	142200	153810	38783	32831	145410	143330	40585	54871
Trifunctional	Hadha	Q64428	70634	84213	115220	110640	70013	73219	90650	75534	99184	100110	116660	137740	115010	132240	106130	105270	76722	79296	124020	125720	117530	110650	119980	114590	115910	123840	94907	107360	61512	65588
Pleckstrin	Plekhg2	G3V9A0	422620	306200	246240	193140	290750	470810	0	27208	0	195190	205440	1327200	116320	112960	1356800	39117	1443400	419320	30369	161630	1012400	766400	195130	70507	120830	0	328320	414880	0	0
Dermatopontin	Dpt	B2RZ77	141340	135030	243540	211000	60543	53651	162890	122950	300070	293730	245720	261940	134880	158160	197350	178240	314640	367100	200710	198520	106180	98988	178600	260500	216520	268570	130530	117530	1795.8	2538.6
TAR	Tardbp	I6L9G6	367010	342670	303580	414930	232090	205210	329000	300440	361930	400610	388630	414660	256910	259400	372600	355330	183020	150220	478570	378790	292600	264710	479000	492070	214120	240820	206760	182500	363350	383340
Cell	Cdc42	Q8CFN2	168360	191320	166710	182830	145040	159410	226950	237940	267170	199490	316520	331460	116260	168790	220300	214370	187340	174690	234940	253880	216120	216970	221450	215330	111880	336630	157140	151880	65747	72848
Heterogeneous	Hnrnph1	A0A0G2JTG7	241590	207940	180400	130750	120080	122910	180690	173030	207140	193900	135040	119190	136480	136060	131090	144690	198180	200220	214180	240270	135720	141960	237940	257620	107620	54301	159670	156290	136620	117990
Pcbp2	Pcbp2	Q4V8F6	431470	145450	195030	198240	290160	232980	268010	246200	221240	220640	279220	255040	220680	249100	320210	272580	244070	223560	245140	246610	221570	240200	232400	278440	208210	205220	249540	231010	163550	223770
Isoform	Cyb5r3;sp|P20070|NB5R3_RAT	P20070-3	107030	108450	121110	127570	97131	100000	133690	136480	107910	109280	145600	146180	138300	142410	130120	123820	81248	74248	117480	118310	142190	152850	125380	120400	152820	131490	118620	127430	38658	55554
Sodium/potassium-transporting	Atp1a1	P06685	55641	64121	59948	68440	94197	105430	96037	96554	75303	82386	81992	80065	131180	131170	76190	73170	112750	108990	99492	99465	113930	104030	95097	88849	100840	80441	111620	115070	100370	74154
Citrate	Cs	G3V936	240610	214750	163480	191200	207900	232330	180720	180360	216280	254580	192080	210760	239860	157070	180540	192220	227830	229750	162660	163300	189630	178340	192570	165200	196310	266220	178860	193060	130570	91159
Extended	Esyt1	Q9Z1X1	64130	75864	75997	72122	99238	101150	101790	108080	107220	104820	133150	143350	139780	138200	130400	126640	67388	69328	106400	114480	123710	134510	115420	109490	94762	82123	104720	104730	76770	77756
Thioredoxin	Txn	P11232	64725	105410	348320	309280	254390	231470	241680	252010	260930	275600	317360	465830	234140	184620	254770	195670	245350	189640	288850	311870	280710	273280	222710	195730	87038	64813	296640	312390	208740	256000
Gamma-enolase	Eno2	P07323	58635	63786	78616	95782	138710	145390	155610	152970	153390	132980	107640	95999	174690	179320	168620	158550	59199	58188	162030	153890	139940	146550	166640	150410	100290	96660	105270	118550	82392	82750
Ig	Igh-1a	P20761	92814	78258	337740	375220	127380	137100	136930	139560	129130	129350	152960	125050	104070	98589	126990	119410	149700	146120	131000	113950	84637	76479	236090	242940	172030	159990	106980	98649	171230	144970
Zinc	Znfx1	F1LMA9	1319600	1523100	126910	7321.7	0	308430	0	321640	297270	1107300	0	56989	313190	0	772800	327670	1146400	1146400	0	0	33619	20239	369900	220950	11903	0	724470	352910	0	0
75	Hspa9	F1M953	76262	92240	90290	88591	163320	164230	104000	105940	100770	88759	127390	133120	126740	129700	101550	107260	151080	143110	120350	130010	117440	115410	115260	106270	213360	217550	131440	114620	156950	194990
Fetub	Fetub	Q6IRS6	123040	124480	167530	172620	43401	56169	89388	93223	119440	130780	77193	89931	158280	162910	113430	126590	94619	79506	89972	93026	111690	113690	136070	132060	160840	163690	94329	95778	26429	23386
C-reactive	Crp	P48199	155660	163580	309630	277000	116070	38033	225710	232940	363540	351480	113190	112090	98343	106120	66885	76393	68294	167960	214880	224200	139660	125010	313750	325350	152370	151490	214430	204760	857320	736770
Fibrinogen	Fga	A1L114	70660	64237	81836	74070	60782	68244	107370	116620	118550	111180	107920	100460	141190	127960	98000	103040	93636	100800	85304	80455	62258	66263	168640	170070	272270	235090	142360	143080	133830	140070
Tetraspanin	Cd81	Q6P9V1	177290	190440	133170	144640	97333	105210	100870	118370	144690	149970	233640	240060	270080	274380	357790	372650	118170	121180	220320	228560	356350	399620	81663	192430	102730	95077	221880	212910	15383	23825
F-actin-capping	Capza2	Q3T1K5	254530	209460	141200	178170	214360	227480	244060	259520	317520	314770	297560	361960	322290	289750	309010	336260	234350	219110	284890	270480	296080	294860	270860	278960	171120	138410	273360	291800	208230	113680
L-lactate	Ldhb	P42123	263900	232980	251230	213160	107720	99718	132950	111260	171780	154360	166660	95566	253860	275090	160780	138850	171930	155550	178940	226990	191450	193810	127330	118450	338360	323300	185840	169160	2685	2353.5
Prohibitin	Phb	P67779	217330	126000	142710	130250	120940	97012	92295	86587	100120	104320	168080	176530	97482	87184	150280	139600	104770	121860	149910	145500	109900	106990	126900	122940	81353	119080	77132	63687	153910	155950
Protein	Pdia4	P38659	26211	39303	20285	46658	162590	157900	127520	126550	98501	98010	89939	92399	108080	125140	76869	76907	99670	124620	159040	156380	83390	80590	157950	165440	40704	39502	81179	78347	152590	134440
Caveolin	Cav1	Q2IBC6	172350	228100	230030	210010	220700	152550	63083	85511	91412	114610	244200	258340	429340	519370	311140	324530	109890	189320	198700	232600	262860	191940	197560	186790	395950	368730	315470	255450	0	0
Na(	Pdzk1	A0A0G2K8W0	0	0	0	0	0	619780	0	0	999240	30609	2333200	0	1185900	2031100	41426	3263000	0	0	0	0	0	0	872080	6505.8	0	0	713680	707570	0	0
Coatomer	Copa	G3V6T1	76585	84373	98216	94579	167680	199370	124180	121090	106560	108830	128170	114940	121520	121880	87969	110480	181160	165360	130240	148780	126280	133070	145260	160490	79349	77257	132360	136760	146480	142900
Splicing	Sfpq	Q4KM71	203910	202300	169920	154280	151710	168740	192560	199800	217500	233010	161360	147160	205570	201760	170070	189430	194700	180980	221810	220220	149710	152110	211040	216040	218500	243060	160820	152160	186540	179650
Actin-related	Arpc1b	O88656	88938	74506	224240	260310	243390	242570	337190	262410	310870	313320	330490	302140	194150	158710	181830	185590	217230	250800	305200	290370	264580	342320	215110	214870	47572	46996	244430	257760	215560	232360
FUS	Fus	Q5PQK2	842310	737130	574150	446980	172840	180370	153640	163530	251380	271390	225540	245410	139240	119610	313970	233890	246110	260110	344470	340320	165800	143610	250080	288380	195950	103050	168200	159660	56004	26367
Heat	Hspa4l	B4F772	0	0	0	0	0	0	0	0	0	0	0	0	4234200	3909500	0	0	0	0	0	0	0	3899500	0	0	0	0	0	2870000	0	0
Glutathione	Gstm1	P04905	120530	133350	94367	97309	39102	40419	74313	75276	98076	94389	53762	51873	94020	107050	381870	377080	81005	80231	109950	110250	59619	54960	156550	189320	632430	552720	40278	41798	10859	8817.4
Gc-globulin	Gc	Q68FY4	81168	88602	205990	225610	77578	59328	103470	111970	159210	158030	90548	103610	113660	131240	118100	116620	80693	72509	96301	91271	107050	108290	162120	174060	108990	118820	86887	81674	61702	71994
Desmuslin	DMN	Q810D0	24493	27216	41683	30763	114190	117990	164500	169320	68943	68243	98467	108190	111960	126380	109940	102180	29070	37083	76483	74795	168600	181110	81091	73981	9401.2	18417	157290	164890	0	0
T-complex	Cct7	D4AC23	64147	55245	79777	79978	143420	144110	143390	135950	121890	125810	109750	104000	117010	129540	109390	109430	158550	159200	149660	131160	105110	103690	175890	177300	44821	53567	108300	104600	209500	195250
Alpha-parvin	Parva	G3V818	103220	109660	115590	113850	126110	108040	118830	124200	130550	140110	138590	145320	124540	133400	160040	151660	79816	87354	140230	140590	152710	168230	91506	99364	94738	83052	163190	181470	1582.5	1927.7
Septin-2	Septin2	Q91Y81	83115	91564	84933	97056	74232	85721	88949	81161	106630	103740	78449	84852	103310	108380	106670	108190	77955	96935	91462	89256	108940	113820	111180	95950	105230	106450	111790	113830	29769	28789
Ribonuclease	Rnh1	E2RUH2	82405	104210	120740	104160	102370	110740	171410	171500	181280	183770	146340	164450	135730	126820	146560	177960	101350	152060	174470	152380	147150	161390	200970	200930	158620	209380	107420	112880	151670	144390
Prohibitin	Phb2	A0A0G2KB63	203370	132500	147140	151960	117060	142060	95888	103070	133050	132220	143870	145710	135620	101010	170660	146420	133940	144030	146790	141930	136610	131890	134250	155130	134230	125680	107910	111920	77003	76585
E3	Nedd4	A0A0G2K0B4	110170	108710	102540	92149	108890	106900	103780	96055	86203	80710	143860	126830	147570	132530	141840	137100	105040	96913	99587	96109	133880	143990	128860	124380	78183	96152	123050	118930	72142	71613
60S	Rpl7	B0K031	197990	205550	213230	206870	185990	180850	143970	183330	248140	220850	161270	151990	256630	340190	140450	143660	233900	231090	253990	247470	111790	144390	261930	241100	155840	166640	210480	176800	121250	145230
14-3-3	Ywhaq	P68255	55721	53965	78741	79935	128900	140900	90120	104620	124720	131670	134920	112570	140160	117340	150190	141270	108190	82138	123040	152720	100070	107010	113780	73759	147010	150200	109340	115860	149820	155760
40S	Rps5	B0BN81	408650	240980	239850	206450	226870	235830	244640	196510	182700	203660	210420	229050	209390	216890	248120	229050	319150	332000	321550	327130	270930	222660	336550	141440	97549	167370	168000	163940	427040	395420
Fatty	Fabp3	P07483	0	0	899.55	0	96934	40121	0	0	4199.6	2013.4	0	0	0	0	0	0	162560	154450	413.87	1028.7	0	0	0	0	468210	547360	68465	79415	563320	734990
Non-POU	Nono	Q5FVM4	227040	124920	200030	165340	157470	122040	157370	161010	154940	168120	244180	256980	238200	217500	237990	248530	201820	186220	199600	239040	220070	232250	216840	184190	73596	90328	170820	146760	162690	170090
Actin-related	Actr2	Q5M7U6	102550	109640	117430	99600	122620	132420	118260	124800	143110	145320	143020	169840	97658	93472	117340	100640	119980	131620	118440	125630	148880	158910	99563	90641	42727	50107	143390	159960	113490	74583
Isoform	Lap3;sp|Q68FS4|AMPL_RAT	Q68FS4-2	77835	76740	121220	131710	155510	149030	216820	227430	200820	205580	225660	173740	100360	149270	125650	114070	164000	152910	214600	216010	128020	105680	202900	193250	171760	198460	176680	154640	350770	338870
Macrophage-capping	Capg	Q6AYC4	127810	147730	263640	220940	124670	139100	310080	305260	318250	308220	180010	188100	150920	150420	206180	218060	159980	171360	212350	231870	217500	219830	237840	198500	193260	160820	190000	193900	130480	67047
Dolichyl-diphosphooligosaccharide--protein	Rpn2	A0A0G2K757	45099	58711	61264	56074	71185	74079	44629	48430	50962	51372	98348	92563	83759	82400	89178	106290	73763	69125	107460	107090	77748	76603	81237	102090	70547	69272	86393	81347	116540	98941
Bifunctional	Atic	O35567	69847	88223	94297	81025	122860	125370	116950	118190	121630	126080	126380	125620	146200	142250	121670	138660	107450	100350	137610	138670	118670	135910	141090	137140	127380	124760	100770	102470	127920	131280
Transcription	Trim28	O08629	70007	58002	78329	77426	132920	140560	81173	84278	104500	93730	137040	135810	109280	113550	171150	160640	106900	108450	131600	120160	105720	101930	110880	112330	59397	121660	78725	83079	97817	125560
Cytochrome	Cycs	D4A5L9	59095	38603	258240	227660	162520	149580	243840	224880	274370	298000	367020	372250	162930	187310	182080	164000	168760	172510	184770	191200	229130	223400	279260	312880	85494	59372	172420	156070	260320	323810
RAB10	Rab10	Q5RKJ9	338560	375780	453240	417620	388800	400430	775270	726490	739120	581880	708720	782480	945780	950350	1397300	0	398350	368310	727110	531730	643530	944550	692350	849820	497460	1264700	435520	499530	422330	385100
Carboxylesterase	Ces1c	P10959	233880	260530	305230	288550	93160	107640	94904	93456	174670	162870	74343	60227	139840	159480	129950	110250	71581	117840	117900	107290	100760	102370	165780	148260	172780	188980	98462	102210	12474	13069
Alpha-2	Serpinf1	Q80ZA3	65845	68146	56539	51233	79488	90707	168840	170450	184270	182190	209340	222100	231720	232520	134950	120800	29985	29134	135660	139350	210100	218480	293660	286380	10579	12409	143670	144180	10732	6297.2
Chloride	Clic1	Q6MG61	116790	127450	108530	112910	154010	226570	186630	180760	145150	159190	198530	230270	185740	195830	182700	186640	132790	68201	168280	157950	181270	192820	180870	169560	162810	137550	119330	151600	229140	176640
60S	Rpl9	Q6P9U5	302710	247720	190290	191280	273110	294260	206410	190780	256130	235370	188610	207650	203510	175860	228230	213920	282540	288690	197100	188600	205690	235140	267920	268620	101510	109860	200640	201410	242950	226410
Alpha-2-macroglobulin	Lrpap1	Q99068	1563.6	1624.8	289.67	821.32	246620	239990	382.62	2847.4	406.01	1274.6	0	0	2379.5	1784.1	0	746.81	203030	204300	26115	25951	615.17	0	1619.8	3094.6	1206.7	1516.3	1172.7	1055.5	230580	242310
RCG61099	Srsf3	A0A0U1RRV7	158420	154870	165760	160750	214680	206400	235820	227030	201700	202740	251270	227030	227030	211130	272610	273170	207690	186940	263720	250780	238720	239180	259390	259900	171900	185080	194540	216260	194960	204620
Staphylococcal	Snd1	Q66X93	118730	108290	126450	103670	165750	176610	161080	170020	158920	166210	145730	166300	112040	150290	97593	114590	144510	136760	179010	171770	130360	129140	204290	218020	38439	47096	183990	186410	129650	83608
Fibulin-1	Fbln1	D3ZQ25	174110	190130	114330	121590	285890	311440	318430	320150	210580	203060	52875	38011	186010	158300	179020	169800	135810	131490	211690	214900	230800	210790	172130	158160	100810	130650	146380	170280	163320	210120
Aspartate	Got2	P00507	130940	136050	155740	156360	74841	95689	100940	96792	109490	113560	84776	84395	79345	83997	84336	102860	175530	178940	107470	101250	94244	80253	99063	90982	134100	139940	98890	97677	104940	111490
Aldo-keto	Akr1c18	P51652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1169000	1177000	2529.6	0	0	0
Cystatin-B	Cstb	P01041	79958	13308	475420	553150	434210	403770	439290	549840	667810	554720	713620	607040	79000	516770	647020	474180	254700	441910	471860	542550	257500	315130	383830	370380	181440	65317	286490	273270	586540	590470
Plasminogen	Plg	Q01177	92343	93638	101070	84209	51631	50587	104210	105050	118890	119290	70429	90886	95766	87781	128140	120540	45039	48819	85031	70311	81764	81051	175840	167240	85473	95065	63406	66376	3553.4	5486.5
3-ketoacyl-CoA	Acaa2	A0A0G2K642	36148	42310	119560	99431	128070	136570	81685	73190	108330	99492	85224	84008	82842	87145	119700	126320	96048	102630	100790	94661	84917	83632	113610	101210	287950	352930	77170	74054	58485	74321
40S	Rps6	P62755	118950	151270	161560	142380	192980	217510	195220	218920	187700	190830	191080	182280	198130	280290	253850	244330	113450	167110	257760	227650	215050	220980	258410	269140	35546	76974	206600	208870	249920	240340
Dolichyl-diphosphooligosaccharide--protein	Ddost	Q641Y0	156890	203390	157410	178820	194080	203390	176370	158740	147460	179610	225030	255280	205610	219760	183490	201270	246120	267660	242500	245430	178180	169490	254170	236510	201620	226760	203190	209830	169960	205590
Protein	Sec13	Q5XFW8	34245	31024	126630	116880	264960	271130	240090	310990	335640	341110	302140	333020	329110	342790	246060	245640	143080	186950	395450	367940	321460	263050	365790	367940	47514	37937	246190	280560	369930	353370
3-alpha-hydroxysteroid	Akr1c9	P23457	93098	92479	81470	91002	429050	428230	49700	46924	47365	44458	127930	87030	80077	71976	119260	149900	274380	299190	81871	80524	36548	45309	69293	58780	104500	101770	47877	57679	338490	367510
40S	Rps3a	P49242	148300	114190	159360	109430	84329	90460	84701	86000	94957	96421	111750	124680	75237	88255	98879	94139	136510	121310	119360	114640	84259	88207	115010	106060	37944	34107	91874	98608	138040	137320
Annexin	Anxa3	P14669	55526	61821	53150	37228	115640	122430	81664	86194	88309	83898	78856	93864	81598	74019	90271	89569	59744	64329	72167	69877	75893	80484	66189	70543	132690	122110	67834	65574	71967	87784
ATP-citrate	Acly	A0A0G2K5E7	59694	68164	71697	74371	148480	155050	114280	111570	134430	131260	114430	126920	132750	131490	90923	92417	182790	174050	123220	125130	98275	96516	172200	184600	121400	113790	111900	112400	192810	205640
Lipocalin	Tinagl1	Q4V8N0	202810	175800	116320	88744	885040	925240	38939	44314	55534	46128	57701	52190	7564.8	22378	103950	121570	135460	138560	49985	56333	26773	27976	60130	50472	49825	52457	38136	43843	306910	741900
Coatomer	Copg1	Q4AEF8	22222	30094	43630	47092	110850	104440	77483	84049	58633	60719	80243	81642	87327	90878	62581	59792	68893	72220	126260	115540	73236	69044	107100	113760	30638	28657	75420	73630	126370	133840
26S	Psmc4	Q63570	60647	59672	71710	81470	176070	167130	146870	153240	134370	134370	138000	149650	187210	202760	148720	136930	94543	99978	160140	160740	145710	147210	158430	158250	125050	136440	118860	121270	199220	198830
CArG-binding	Hnrnpab	Q9QX80	168110	174520	224460	194980	225400	268880	255530	231500	309640	276090	136540	141760	277980	309580	173270	206110	316770	286840	242450	233520	206970	185870	296410	302040	89772	91808	224330	206370	142760	170100
Tubulin	Tubb2a	P85108	103690	103580	131090	128120	150120	155600	141080	144890	141130	137310	105860	135470	115380	144590	160740	136690	124300	111690	130440	129570	146220	143550	117270	108410	87639	92630	184400	181000	121480	101100
Calponin-3	Cnn3	P37397	90239	77836	189950	191430	131610	161200	157890	150910	226670	231000	213320	226430	231130	231710	226480	208100	89306	87207	226460	208280	119870	118160	252900	229970	110380	94820	150940	143160	94712	74237
Four	Fhl1	Q9WUH4	64891	59627	122270	137860	58732	65787	127370	125470	106180	100680	61554	63965	114300	98036	67579	63273	88476	87203	128620	139140	181970	171620	79028	80320	55920	44747	149320	145940	3206.3	3954.3
Dihydrolipoyl	Dld	Q6P6R2	63561	68979	30333	43788	142940	145060	142260	139780	153290	153060	99537	113690	120680	115540	102630	112670	151060	142710	156950	144210	161110	150990	140150	137640	357910	324060	138840	150080	124110	112370
Zyxin	Zyx	D4A7U1	23847	37075	40662	16213	147700	140470	206960	186850	162020	155710	129120	129560	199200	199920	137920	139420	81682	79546	155350	145080	226740	220120	146520	161350	29484	32195	215720	203180	37964	53003
Macrophage	Mif	A0A0F7RQL3	95126	133050	281300	337070	161960	121970	246570	231050	216790	249190	132420	141610	86751	94208	139530	154940	235370	209650	225180	247250	181770	162980	217700	209130	31054	31114	176600	178030	44906	131050
60S	Rpl10	Q6PDV7	82381	81929	169440	154950	215000	222330	270080	285060	217130	204850	233580	260020	255750	232700	260690	219900	240830	216270	303300	286080	241030	234760	371100	302240	47502	49193	209420	217000	192840	196930
Adenine	Aprt	P36972	430580	439070	455100	325990	185850	195200	310920	292700	324510	300640	262630	212210	267980	212310	301610	290020	298590	328520	305710	310030	185710	165370	333630	315130	204670	167300	195190	211250	321090	240830
Fibromodulin	Fmod	G3V6E7	62635	62954	16820	21728	0	0	197880	171030	260040	231950	281920	276640	147880	161140	71095	81112	2624.3	7361.2	69828	71261	77292	88579	170150	150800	0	0	175220	179000	0	0
C3/C5	Cfb	Q7TP05	46679	50758	997030	1052400	33960	43748	46837	57452	77561	68705	62124	79331	74088	75105	87421	106150	7870.2	7608.5	29488	35933	66664	68585	84906	74132	60603	67412	60055	55694	9119.7	13506
Isocitrate	Idh1	P41562	94353	81322	78232	76784	42378	40565	72953	74371	84058	89050	71192	73214	52082	65450	79966	62678	57537	52849	90451	87089	73445	63970	77711	80049	302010	309840	73025	69192	30743	18819
RNA	Dhx9	D4A9D6	672210	309440	274380	162260	100820	117050	127730	124050	203230	190440	131420	164480	138750	144870	139410	111610	162450	175890	173880	171840	137910	117350	178230	177390	141580	118720	159500	157730	136350	120490
Rho	Arhgdib	Q5M860	102330	103280	187730	190780	165040	171390	371720	344650	277630	281360	301660	274630	215100	213900	295990	277090	147380	122660	286460	286220	259660	260210	224920	223890	219970	196270	259320	257810	249650	232000
